id,State Name,Code Name,Admission Year,Population,Area
1,Alabama,AL,1819,4833722,52420
2,Alaska,AK,1959,735132,665384
3,Arizona,AZ,1912,6626624,113990
4,Arkansas,AR,1836,2959373,53179
5,California,CA,1850,38332521,163695
6,Colorado,CO,1876,5268367,104094
7,Connecticut,CT,1788,3596080,5543
8,Delaware,DE,1787,925749,2489
9,Florida,FL,1845,19552860,65758
10,Georgia,GA,1788,9992167,59425
11,Hawaii,HI,1959,1404054,10932
12,Idaho,ID,1890,1612136,83569
13,Illinois,IL,1818,12882135,57914
14,Indiana,IN,1816,6570902,36420
15,Iowa,IA,1846,3090416,56273
16,Kansas,KS,1861,2893957,82278
17,Kentucky,KY,1792,4395295,40408
18,Louisiana,LA,1812,4625470,52378
19,Maine,ME,1820,1328302,35380
20,Maryland,MD,1788,5928814,12406
21,Massachusetts,MA,1788,6692824,10554
22,Michigan,MI,1837,9895622,96714
23,Minnesota,MN,1858,5420380,86936
24,Mississippi,MS,1817,2991207,48432
25,Missouri,MO,1821,6044171,69707
26,Montana,MT,1889,1015165,147040
27,Nebraska,NE,1867,1868516,77348
28,Nevada,NV,1864,2790136,110572
29,New Hampshire,NH,1788,1323459,9349
30,New Jersey,NJ,1787,8899339,8723
31,New Mexico,NM,1912,2085287,121590
32,New York,NY,1788,19651127,54555
33,North Carolina,NC,1789,9848060,53819
34,North Dakota,ND,1889,723393,70698
35,Ohio,OH,1803,11570808,44826
36,Oklahoma,OK,1907,3850568,69899
37,Oregon,OR,1859,3930065,98379
38,Pennsylvania,PA,1787,12773801,46054
39,Rhode Island,RI,1790,1051511,1545
40,South Carolina,SC,1788,4774839,32020
41,South Dakota,SD,1889,844877,77116
42,Tennessee,TN,1796,6495978,42144
43,Texas,TX,1845,26448193,268596
44,Utah,UT,1896,2900872,84897
45,Vermont,VT,1791,626630,9616
46,Virginia,VA,1788,8260405,42775
47,Washington,WA,1889,6971406,71298
48,West Virginia,WV,1863,1854304,24230
49,Wisconsin,WI,1848,5742713,65496
50,Wyoming,WY,1890,582658,97813
